"Param
Id","TCD
ID","Size/
16 Bit","Group Label
Long","Param. Label
Long","Group
SOLED","Label
SOLED","Group Label
Short","Param. Label
Short","Shape
GUI","Position
GUI","Inactive
CP","Bipolar
No/Yes","Button
Id",MC,Prio,Scaling Type,DV = f(CP),"Factor
CP to DV","DisplayValue
Range","Default
(DV)","Default
(CP)",Round,"Main
Unit","Mod
Unit","Mod Amt (+/-)
u. Stepsize fine","Stepsize/CP
coarse","Stepsize/CP
fine","Unclipped (16 Bit)
TCD_RAW Range","Clipped (14 Bit)
TCD_RAW Range","Factor
CP to TCD",Render Cell,Target,Comment,Parameter Info,
25,,2,,Decay 2 Time,,Decay 2,,Decay 2,Big Knob,3.0,,N,15,Y,1,ENVELOPE_TIME_MS,exp,NA,0 ... 16 000,1290,0.79,3 St.,ms,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,-,TG - Env B,,Time of the second (exponential) Decay segment in milliseconds.,
27,,2,,Sustain Level,,Sustain,,Sustain,Big Knob,4.0,0,N,19,Y,1,LINEAR_100_PERCENT,lin,100,0 ... 100,0,0.0,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,-,TG - Env B,,Sustain level (target of the second Decay segment).,
29,,2,,Release Time,,Release,,Release,Big Knob,5.0,,N,23.0,Y,1,ENVELOPE_TIME_MS_INF,exp,NA,"0 ... 16 000, inf",61.1,0.53,3 St.,ms,%,,1/101,1/1010,-16160 ... 32320,0 ... 16 160,16160,-,TG - Env B,,Time of the (exponential) Release segment in milliseconds (infinite at maximum).,
31,24 (52),2,,Gain,,Gain,,Gain,Vert. Slider,6.0,0,Y,22,Y,1,LINEAR_BIPOLAR_24_DB,lin,24,-24...24,0,0.0,0.1,dB,dB,48 (1/480),1/48,1/480,-21600 ... 21600,-7 200 ... 7 200,7200,step - Exp - Sm A,direct,,"Gain [in dB] of the envelope signal. As this signal modulates the Oscillator and Shaper B, the Gain influences the level and the amount of phase modulation and distortion.",
33,,1,,Level Velocity,,Level Vel,,Level Vel,Hor. Slider,1.1,,N,14,N,2,LINEAR_60_DB,lin,60,0...60,30,0.5,0.1,dB,NA,NA,1/60,1/600,NA,0 ... 15 360,15360,-,TG - Env B,,"Influence of the key velocity on the peak, breakpoint and sustain levels of the envelope [maximum dynamic range in dB].",
34,,1,,Attack Velocity,,Att Vel,,Velocity,Hor. Slider,0.1,,N,3.1,N,2,LINEAR_60_DBT,lin,60,0 ... 60,0,0.0,0.1,dB_T,NA,NA,1/60,1/600,NA,0 ... 12 000,12000,-,TG - Env B,,Velocity influence on the Attack time. The value represents the logarithmic amount of the reduction of the Attack time by high Note-On velocities.,
35,,1,,Release Velocity,,Rel Vel,,Velocity,Hor. Slider,5.1,,N,23.1,N,2,LINEAR_60_DBT,lin,60,0 ... 60,0,0.0,0.1,dB_T,NA,NA,1/60,1/600,NA,0 ... 12 000,12000,-,TG - Env B,,Velocity influence on the Release time. The value represents the logarithmic amount of the reduction of the Release time by high Note-Off velocities.,
36,,1,,Level Key Trk,,Level KT,,Level KT,Hor. Slider,2.1,,Y,18.0,N,2,LINEAR_BIPOLAR_1_DBST,lin,1,-1.0 ... 1.0,0,0.0,0.001,dB/st,NA,NA,1/100,1/1000,NA,-8 000 ... 8 000,8000,-,TG - Env B,,"Key tracking of the envelope's peak, breakpoint and sustain levels [dB per semitone].
Positive values: higher levels for higher notes (+1.0 = +12 dB per octave).
Negative values: lower levels for higher notes (-1.0 = -12 dB per octave).
Origin at C3 = 60 semitones.",
37,,1,,Time Key Trk,,Time KT,,Time KT,Hor. Slider,3.1,,N,18.1,N,2,LINEAR_100_PERCENT,lin,100,0...100,5,0.05,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,-,TG - Env B,,"Key tracking of the attack, decay and release times. The value determines how much shorter the times get for higher notes.",
38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,2,Envelope C,Attack Time,Env C,Attack,Envelope C,Attack,Big Knob,0.0,,N,1.0,Y,1,ENVELOPE_TIME_MS,exp,NA,0 ... 16 000,0,0.0,3 St.,ms,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,-,TG - Env C,,Time of the (polynomial) Attack segment in milliseconds.,
40,,2,,Decay 1 Time,,Decay 1,,Decay 1,Big Knob,1.0,,N,5.0,Y,1,ENVELOPE_TIME_MS,exp,NA,0 ... 16 000,118,0.59,3 St.,ms,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,-,TG - Env C,,Time of the first (linear) Decay segment in milliseconds.,
42,,2,,Breakpoint Level,,Breakpoint,,Breakpoint,Big Knob,2.0,,Y,5.1,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,50,0.5,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,-,TG - Env C,,Level of the (bipolar) Breakpoint between the two Decay segments.,
44,,2,,Decay 2 Time,,Decay 2,,Decay 2,Big Knob,3.0,,N,9.0,Y,1,ENVELOPE_TIME_MS,exp,NA,0 ... 16 000,1290,0.79,3 St.,ms,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,-,TG - Env C,,Time of the second (exponential) Decay segment in milliseconds.,
46,,2,,Release Time,,Release,,Release,Big Knob,5.0,,N,2.0,Y,1,ENVELOPE_TIME_MS_INF,exp,NA,"0 ... 16 000, inf",61.1,0.53,3 St.,ms,%,,1/101,1/1010,-16160 ... 32320,0 ... 16 160,16160,-,TG - Env C,,Time of the (exponential) Release segment in milliseconds (infinite at maximum).,
48,,1,,Level Velocity,,Level Vel,,Level Vel,Hor. Slider,1.1,,N,6,N,2,LINEAR_60_DB,lin,60,0...60,30,0.5,0.1,dB,NA,NA,1/60,1/600,NA,0 ... 15 360,15360,-,TG - Env C,,"Influence of the key velocity on the peak, breakpoint and sustain levels of the envelope [maximum dynamic range in dB].",
49,,1,,Attack Velocity,,Att Vel,,Velocity,Hor. Slider,0.1,,N,1.1,N,2,LINEAR_60_DBT,lin,60,0 ... 60,0,0.0,0.1,dB_T,NA,NA,1/60,1/600,NA,0 ... 12 000,12000,-,TG - Env C,,Velocity influence on the Attack time. The value represents the logarithmic amount of the reduction of the Attack time by high Note-On velocities.,
50,,1,,Release Velocity,,Rel Vel,,Velocity,Hor. Slider,5.1,,N,2.1,N,2,LINEAR_60_DBT,lin,60,0 ... 60,0,0.0,0.1,dB_T,NA,NA,1/60,1/600,NA,0 ... 12 000,12000,-,TG - Env C,,Velocity influence on the Release time. The value represents the logarithmic amount of the reduction of the Release time by high Note-Off velocities.,
51,,1,,Level Key Trk,,Level KT,,Level KT,Hor. Slider,2.1,,Y,10.0,N,2,LINEAR_BIPOLAR_1_DBST,lin,1,-1.0 ... 1.0,0,0.0,0.001,dB/st,NA,NA,1/100,1/1000,NA,-8 000 ... 8 000,8000,-,TG - Env C,,"Key tracking of the envelope's peak, breakpoint and sustain levels [dB per semitone].
Positive values: higher levels for higher notes (+1.0 = +12 dB per octave).
Negative values: lower levels for higher notes (-1.0 = -12 dB per octave).
Origin at C3 = 60 semitones.",
52,,1,,Time Key Trk,,Time KT,,Time KT,Hor. Slider,3.1,,N,10.1,N,2,LINEAR_100_PERCENT,lin,100,0...100,5,0.05,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,-,TG - Env C,,"Key tracking of the attack, decay and release times. The value determines how much shorter the times get for higher notes.",
53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,2,2,Oscillator A,Pitch,Osc A,Pitch,Oscillator A,Pitch,Num 000.00,0.0,,N,24.0,Y,1,NUMERIC_150_ST,lin,150,-20...130,60.00,80/150,0.01,st,st,150 (1/7500),1/150,1/15000,-15000 ... 30000,0 ... 15 000,15000,step,direct,MC Range: -80...80 st,"Pitch (logarithmic frequency) of Oscillator A at C3 (MIDI note 60) [in semitones, based on MIDI note numbers].
The range below zero is shaped in the way that -20 corresponds to 0 Hz.",
55,3,1,,Pitch - Key Trk,,Key Trk,,Key Trk,Num 000.00,0.2,,N,24.1,N,1,FINE_105_PERCENT,lin,NA,0...105,100.00,100/105,0.01,%,NA,NA,1/105,1/10500,NA,0 ... 10 500,10500,step,direct,,"Key tracking of the oscillator pitch. It's the scaling factor between the key position of a received MIDI note (relative to C3 = 60 semitones) and the pitch of the oscillator.
At 100.0 %, the pitch follows the equal-tempered scale (when the Scale group is equal--tempered as well). At values slightly larger than 100.0 %, the tuning will be stretched. At 50.0 %, a quartertone scale emerges and at 0.0 %, the pitch is constant for all keys.",
56,4,1,,Pitch - Env C,,Pitch Env,,Env C,Log. Hor. Slider,0.1,,Y,24.2,N,2,FINE_BIPOLAR_80_ST,lin,NA,-80...80,0,0.0,0.01,st,NA,NA,1/80,1/8000,NA,-8 000 ... 8 000,8000,step,direct,,Amount of pitch modulation by Envelope C [in semitones].,
57,5,2,,Fluctuation,Osc B,Fluct,,Fluctuation,Big Knob,1.0,0,N,28.0,Y,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,step,direct,,"Fluctuation of the oscillator frequency.
If the parameter is set larger than 0.0 %, the frequency is changed at the beginning of each oscillation period by a random amount. At 100.0 %, the maximum frequency variation is +/- 95 %.",
59,6,1,,Fluct - Env C,,Fluct Env,,Env C,Hor. Slider,1.1,,N,28.1,N,2,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,step,direct,,"Amount of modulation of the frequency fluctuation by Envelope C. At zero, the modulation stays constant, at higher values, the envelope applies a time-variant attenuation.",
60,7,2,,PM Self,,PM Self,,PM Self,Big Knob,2.0,0,Y,36.0,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,lin,direct,,Amount of phase modulation by Oscillator & Shaper A (local feedback).,
62,8,1,,PM Self - Env A,,PM S Env,,Env A,Hor. Slider,2.1,,N,36.1,N,2,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,lin,direct,,"Envelope (A) amount for the phase modulation by Oscillator & Shaper A (local feedback).
At zero, the modulation stays constant, at higher values, the envelope applies a time-variant attenuation.",
63,9,1,,PM Self - Shaper,,PM S Sh,,Shaper,Small Knob,2.2,,Y,36.2,N,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,NA,1/100,1/1000,NA,-8 000 ... 8 000,8000,lin,direct,,"Mix amount of Shaper A in the signal being used for phase modulation (self). At zero, the output signal of Oscillator A is used. At negative values, the signal from the Shaper is inverted.",
64,10,2,,PM B,,PM B,,PM B,Big Knob,3.0,0,Y,40.0,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,lin,direct,,Amount of phase modulation by Oscillator & Shaper B (cross feedback).,
66,11,1,,PM B - Env B,,PM B Env,,Env B,Hor. Slider,3.1,,N,40.1,N,2,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,lin,direct,,"Envelope (B) amount for the pahse modulation by Oscillator & Shaper B (cross feedback).
At zero, the modulation stays constant, at higher values, the envelope applies a time-variant attenuation.",
67,12,1,,PM B - Shaper,,PM B Sh,,Shaper,Small Knob,3.2,,Y,40.2,N,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,NA,1/100,1/1000,NA,-8 000 ... 8 000,8000,lin,direct,,"Mix amount of Shaper B in the signal being used for phase modulation (B -> A). At zero, the output signal of Oscillator B is used. At negative values, the signal from the Shaper is inverted.",
68,13,2,,PM FB,,PM FB,,PM FB,Big Knob,4.0,0,Y,44.0,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,lin,direct,,Amount of phase modulation by the Feedback signal.,
70,14,1,,PM FB - Env C,,PM FB Env,,Env C,Hor. Slider,4.1,,N,44.1,N,2,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,lin,direct,,"Envelope (C) amount for the phase modulation by the Feedback signal.
At zero, the modulation stays constant, at higher values, the envelope applies a time-variant attenuation.",
71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,16,2,Shaper A,Drive,Sh A,Drive,Shaper A,Drive,Big Knob,0.0,,N,25.0,Y,1,LINEAR_50_DB,lin,50,0...50,10,0.2,0.1,dB,dB,50 (1/500),1/100,1/500,-10000 ... 20000,0 ... 10 000,10000,lin,direct,,Input gain [in dB] of the sine shaper stage. Higher gains will create more distortion and harmonics.,
73,17,1,,Drive - Env A,,Drv Env,,Env A,Hor. Slider,0.1,,N,25.1,N,2,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,lin,direct,,"Envelope (A) amount for the Drive factor.
At zero, the gain stays constant, at higher values, the envelope applies a time-variant attenuation.",
74,18,1,,Fold,,Fold,,Fold,Small Knob,1.0,,N,29,N,2,LINEAR_100_PERCENT,lin,100,0...100,50,0.5,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,lin,direct,,"Amount of folding back of the shaper curve for high input amplitudes.
0.0 %: flat saturation, no folding
100 %: fully folded back (periodic sine curve)
A higher amount of folding leads to a softer but more nasal sound.",
75,19,1,,Asymetry,,Asym,,Asymetry,Small Knob,1.1,,N,33,N,2,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,lin,direct,,"Asymetry of the shaper curve, generating even (2nd, 4th, ...) harmonics. At higher values it becomes a parabolic curve that shifts the frequency of the fundamental to its double.",
76,20,2,,Mix,,Mix,,Mix,Vert. Slider,2.0,0,Y,37,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,lin,direct,,"Mix amount of Shaper A in the signal sent to the Filters and to the Output Mixer. At zero, it is the input signal of the Shaper - behind FB Mix. At negative values, the signal from the Shaper is inverted.",
78,21,2,,FB Mix,,FB Mix,,FB Mix,Vert. Slider,3.0,0,N,41.0,Y,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,lin,direct,,Crossfades between Oscillator & Shaper A (at zero) and the Feedback signal for the signal A.,
80,22,1,,FB - Env C,,FB Env,,Env C,Hor. Slider,3.1,,N,41.1,N,2,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,lin,direct,,"Envelope (C) amount for the Feedback Mix. At zero, only a Gate signal is applied, at higher values, Envelope C is faded in.",
81,23,2,,Ring Mod,,Ring Mod,,Ring Mod,Big Knob,4.0,0,N,45,Y,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,lin,direct,,"Crossfades between the signal of branch A and the multiplication (ring modulation) product of branch A and branch B. At lower values the result is an amplitude modulation of signal A (carrier) by signal B (modulator). At 100 % signal A is fully cancelled and the output is only the product ""A x B"" containing frequencies that are sums and differences of the original frequencies.",
83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,25,2,Oscillator B,Pitch,Osc B,Pitch,Oscillator B,Pitch,Num 000.00,0.0,,N,27.0,Y,1,NUMERIC_150_ST,lin,150,-20...130,60.00,80/150,0.01,st,st,150 (1/7500),1/150,1/15000,-15000 ... 30000,0 ... 15 000,15000,step,direct,MC Range: -80...80 st,"Pitch (logarithmic frequency) of Oscillator B at C3 (MIDI note 60) [in semitones, based on MIDI note numbers].
The range below zero is shaped in the way that -20 corresponds to 0 Hz.",
85,26,1,,Pitch - Key Trk,,Key Trk,,Key Trk,Num 000.00,0.2,,N,27.1,N,2,FINE_105_PERCENT,lin,NA,0...105,100.00,100/105,0.01,%,NA,NA,1/105,1/10500,NA,0 ... 10 500,10500,step,direct,,"Key tracking of the oscillator pitch. It's the scaling factor between the key position of a received MIDI note (relative to C3 = 60 semitones) and the pitch of the oscillator.
At 100.0 %, the pitch follows the equal-tempered scale (when the Scale group is equal--tempered as well). At values slightly larger than 100.0 %, the tuning will be stretched. At 50.0 %, a quartertone scale emerges and at 0.0 %, the pitch is constant for all keys.",
86,27,1,,Pitch - Env C,,Env C,,Env C,Log. Hor. Slider,0.1,,Y,27.2,N,2,FINE_BIPOLAR_80_ST,lin,NA,-80...80,0,0.0,0.01,st,NA,NA,1/80,1/8000,NA,-8 000 ... 8 000,8000,step,direct,,Amount of pitch modulation by Envelope C [in semitones].,
87,28,2,,Fluctuation,Osc B,Fluct,,Fluctuation,Big Knob,1.0,0,N,31.0,Y,1,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,%,,1/100,1/1000,-16000 ... 32000,0 ... 16 000,16000,step,direct,,"Fluctuation of the oscillator frequency.
If the parameter is set larger than 0.0 %, the frequency is changed at the beginning of each oscillation period by a random amount. At 100.0 %, the maximum frequency variation is +/- 95 %.",
89,29,1,,Fluct - Env C,,Fluct Env,,Env C,Hor. Slider,1.1,,N,31.1,N,2,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,step,direct,,"Amount of modulation of the frequency fluctuation by Envelope C. At zero, the modulation stays constant, at higher values, the envelope applies a time-variant attenuation.",
90,30,2,,PM Self,,PM Self,,PM Self,Big Knob,2.0,0,Y,39.0,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,lin,direct,,Amount of phase modulation by Oscillator & Shaper B (local feedback).,
92,31,1,,PM Self - Env B,,PM S Env,,Env B,Hor. Slider,2.1,,N,39.1,N,2,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,lin,direct,,"Envelope (B) amount for the phase modulation by Oscillator & Shaper B (local feedback).
At zero, the modulation stays constant, at higher values, the envelope applies a time-variant attenuation.",
93,32,1,,PM Self - Shaper,,PM S Sh,,Shaper,Small Knob,2.2,,Y,39.2,N,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,NA,1/100,1/1000,NA,-8 000 ... 8 000,8000,lin,direct,,"Mix amount of Shaper B in the signal being used for phase modulation (self). At zero, the output signal of Oscillator B is used. At negative values, the signal from the Shaper is inverted.",
94,33,2,,PM A,,PM A,,PM A,Big Knob,3.0,0,Y,43.0,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,lin,direct,,Amount of phase modulation by Oscillator & Shaper A (cross feedback).,
96,34,1,,PM A - Env A,,PM A Env,,Env A,Hor. Slider,3.1,,N,43.1,N,2,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,lin,direct,,"Envelope (A) amount for the pahse modulation by Oscillator & Shaper A (cross feedback).
At zero, the modulation stays constant, at higher values, the envelope applies a time-variant attenuation.",
97,35,1,,PM A - Shaper,,PM A Sh,,Shaper,Small Knob,3.2,,Y,43.2,N,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,NA,NA,1/100,1/1000,NA,-8 000 ... 8 000,8000,lin,direct,,"Mix amount of Shaper A in the signal being used for phase modulation (A -> B). At zero, the output signal of Oscillator A is used. At negative values, the signal from the Shaper is inverted.",
98,36,2,,PM FB,,PM FB,,PM FB,Big Knob,4.0,0,Y,47.0,Y,1,LINEAR_BIPOLAR_100_PERCENT,lin,100,-100...100,0,0.0,0.1,%,%,200 (1/2000),1/100,1/1000,-24000 ... 24000,-8 000 ... 8 000,8000,lin,direct,,Amount of phase modulation by the Feedback signal.,
100,37,1,,PM FB - Env C,,PM FB Env,,Env C,Hor. Slider,4.1,,N,47.1,N,2,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,lin,direct,,"Envelope (C) amount for the phase modulation by the Feedback signal.
At zero, the modulation stays constant, at higher values, the envelope applies a time-variant attenuation.",
101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,39,2,Shaper B,Drive,Sh B,Drive,Shaper B,Drive,Big Knob,0.0,,N,26.0,Y,1,LINEAR_50_DB,lin,50,0...50,10,0.2,0.1,dB,dB,50 (1/500),1/100,1/500,-10000 ... 20000,0 ... 10 000,10000,lin,direct,,Input gain [in dB] of the sine shaper stage. Higher gains will create more distortion and harmonics.,
103,40,1,,Drive - Env B,,Drv Env,,Env B,Hor. Slider,0.1,,N,26.1,N,2,LINEAR_100_PERCENT,lin,100,0...100,0,0.0,0.1,%,NA,NA,1/100,1/1000,NA,0 ... 16 000,16000,lin,direct,,"Envelope (B) amount for the Drive factor.
At zero, the gain stays constant, at higher values, the envelope applies a time-variant attenuation.",
